,auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_materials,artwork_markings,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,lot_origin_url
23,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,24,4000,6000,6375.0,Benjamin Chambers Brown ,1865,1942,American,"Santa Anita Canyon, Autumn ",oil on canvas,"signed 'Benjamin C. Brown' (lower right), inscribed and signed 'AUTUMN/Santa Anita Canyon/near Pasadena, Calif./Painted by Benjamin Brown' (on the reverse)",,,,18 x 24 in. (45.7 x 61.0 cm)framed 27 x 33 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
24,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,25,3000,5000,7012.5,Cyrus Edwin Dallin ,1861,1944,American,Appeal to the Great Spirit ,,"signed 'C.E. Dallin 1913' (in the bronze base), stamped 'GORHAM CO. FOUNDERS/5/G[small animal figure]C/QXO...' (on the back edge of the base)",,,,bronze with brown patina<i>height 8 3/4 in. (22.5 cm) (including base)</i>,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
25,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,26,350,550,0.0,Pasquale  Patsy Santo ,1893,1975,American,Horses and Barns ,watercolor on paper,signed 'Patsy Santo' (lower right),,,,sight size 13 3/4 x 17 3/4 in. (34.9 x 45.1 cm)framed 23 3/4 x 27 3/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
26,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,27,6000,8000,8287.5,Melvin Charles Warren ,1920,1995,American,Three Cowboys ,oil on canvas,"inscribed, signed, and dated 'CA [overlapping] Melvin C. Warren 1970' (lower right)",,,,24 x 36 in. (61.0 x 91.0 cm)framed 35 1/4 x 47 3/8 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
27,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,28,800,1200,2805.0,Mehl Lawson ,1942,,American,Range Doctor ,bronze with brown/green patina,"signed and dated 'MEHL LAWSON/82' (front top edge of the bronze base), titled, inscribed, and numbered '.../© 5/15' (back top edge of the bronze base)",,,,height 19 1/2 in. (49.2 cm)on a natural wood plinth,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
28,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,29,500,700,2550.0,Robert Van Vorst Sewell ,1860,1924,American,"Copper River, Alaska",oil on canvas ,"signed 'RvV Sewell' (lower right), titled in an inscription (on the stretcher)",,,,35 x 25 in. (89.0 x 63.5 cm)framed 44 1/4 x 34 1/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
29,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,30,500,700,1211.25,Otto Bierhals ,1879,1944,American,Mountain River ,oil on Masonite,signed 'OTTO BIERHALS' (lower left),12,18,,12 x 18 in. (30.5 x 45.7 cm)framed 17 1/2 x 24 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
30,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,31,800,1200,2167.5,Mina Fonda Ochtman ,1862,1924,American,Nocturnal Landscape ,oil on canvas,signed 'Mina Fonda Ochtman' (lower left),24,30,,24 x 30 in. (61.0 x 76.2 cm)framed 24 3/4 x 30 3/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
31,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,32,700,900,1402.5,Anthony Thieme ,1888,1954,American,Dockside ,watercolor with charcoal on paper,signed 'AThieme' (lower right),,,,sight size 17 1/2 x 24 in. (44.5 x 61.0 cm)framed 29 3/4 x 36 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
32,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,33,800,1200,828.75,Leo B. Blake ,1887,1976,American,Gloucester Harbor ,oil on canvas,signed 'LEO B. BLAKE' (lower left),20,24,,20 x 24 in. (50.8 x 61.0 cm)framed 25 1/2 x 29 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
